PRE,ALT,TEMP
996.67,0.85,30.40
996.63,1.21,30.40
996.57,1.67,30.40
996.59,1.53,30.40
996.50,2.29,30.40
996.56,1.73,30.40
996.44,2.80,30.40
996.48,2.44,30.40
996.46,2.64,30.40
996.37,3.42,30.40
996.54,1.92,30.40
996.43,2.90,30.40
996.46,2.63,30.40
996.49,2.40,30.40
996.48,2.45,30.40
996.45,2.75,30.40
996.49,2.40,30.40
996.47,2.51,30.40
996.41,3.04,30.40
996.38,3.28,30.40
996.36,3.49,30.40
996.36,3.44,30.40
996.39,3.23,30.40
996.32,3.82,30.40
996.26,4.30,30.40
996.32,3.83,30.40
996.26,4.30,30.40
996.11,5.55,30.40
996.31,3.89,30.40
996.25,4.39,30.40
996.17,5.05,30.40
996.16,5.19,30.40
996.11,5.59,30.40
996.10,5.64,30.40
996.12,5.47,30.40
996.09,5.71,30.40
996.05,6.08,30.40
996.01,6.41,30.40
996.06,6.04,30.40
996.01,6.43,30.40
995.93,7.12,30.40
995.92,7.18,30.40
995.87,7.62,30.40
995.84,7.84,30.40
995.80,8.19,30.40
995.73,8.77,30.40
995.76,8.56,30.40
995.61,9.82,30.40
995.53,10.52,30.40
995.50,10.76,30.40
995.52,10.55,30.40
995.48,10.93,30.40
995.49,10.84,30.40
995.37,11.84,30.40
995.32,12.27,30.40
995.38,11.73,30.40
995.30,12.41,30.40
995.23,13.04,30.40
995.25,12.86,30.40
995.20,13.31,30.40
995.21,13.17,30.40
995.31,12.38,30.40
995.14,13.77,30.40
995.15,13.75,30.40
995.09,14.24,30.40
995.04,14.62,30.40
995.14,13.81,30.40
994.98,15.18,30.30
995.03,14.71,30.30
995.06,14.50,30.30
994.99,15.03,30.30
995.00,14.98,30.30
995.00,14.99,30.30
995.06,14.49,30.30
994.97,15.22,30.30
994.90,15.84,30.30
994.94,15.46,30.30
994.94,15.47,30.30
994.82,16.48,30.30
994.86,16.19,30.30
994.86,16.21,30.30
994.78,16.82,30.30
994.88,16.00,30.30
994.73,17.26,30.30
994.78,16.83,30.30
994.68,17.72,30.30
994.71,17.43,30.30
994.76,16.98,30.30
994.60,18.42,30.30
994.60,18.42,30.30
994.69,17.60,30.30
994.61,18.32,30.30
994.51,19.11,30.30
994.54,18.92,30.30
994.53,18.98,30.30
994.51,19.11,30.30
994.44,19.69,30.30
994.31,20.82,30.30
994.29,21.04,30.30
994.15,22.20,30.30
994.20,21.76,30.30
994.16,22.07,30.30
994.12,22.42,30.30
994.12,22.46,30.30
994.12,22.48,30.30
993.92,24.13,30.30
994.00,23.50,30.30
993.87,24.58,30.20
993.76,25.48,30.20
993.82,24.97,30.20
993.70,26.02,30.20
993.65,26.39,30.20
993.58,27.04,30.20
993.44,28.18,30.20
993.43,28.31,30.20
993.35,29.00,30.20
993.35,28.96,30.20
993.31,29.35,30.20
993.28,29.61,30.20
993.05,31.54,30.20
993.04,31.63,30.20
993.06,31.48,30.20
992.90,32.79,30.20
992.78,33.78,30.20
992.92,32.62,30.20
992.87,33.04,30.20
992.83,33.43,30.20
992.68,34.70,30.20
992.62,35.18,30.20
992.57,35.62,30.20
992.51,36.13,30.20
992.41,36.94,30.20
992.39,37.14,30.20
992.30,37.88,30.20
992.26,38.22,30.10
992.22,38.60,30.10
992.21,38.69,30.10
992.18,38.93,30.10
992.10,39.61,30.10
992.08,39.73,30.10
992.04,40.11,30.10
992.02,40.29,30.10
991.93,41.06,30.10
991.92,41.08,30.10
991.87,41.51,30.10
991.81,42.06,30.10
991.75,42.52,30.10
991.73,42.74,30.10
991.67,43.28,30.10
991.65,43.38,30.10
991.50,44.73,30.10
991.47,44.98,30.10
991.38,45.75,30.10
991.33,46.13,30.10
991.17,47.48,30.10
991.14,47.76,30.10
991.04,48.58,30.10
991.04,48.61,30.10
990.95,49.33,30.10
990.89,49.87,30.10
990.89,49.88,30.10
990.88,49.99,30.10
990.78,50.78,30.10
